level_1_category,level_2_category,level_3_category,level_4_category,store_name,company_name,contact_name,tel,mail,address,customer_center,productUrl
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,いたずら淑女,成都沪嘉华通电器有限公司,成都沪嘉华通电器有限公司,"=""+86-131-6216-2231""",fdcy435@126.com,"Sichuan Chengdu Longquanyi Chengdu Economic and Technological Development Zone (Longquanyi District) No. 117, No. 117, No. 117, No. 117, No. 116",,https://www.qoo10.jp/g/1171491412
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,SOOL,山东阿莲莎服饰有限公司,山东阿莲莎服饰有限公司,"=""+86-171-7485-3681""",sdalilian@163.com,Shandong Linyi Lanshan luxiangnei550hao,,https://www.qoo10.jp/g/1185002135
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,Mumu Fashion,成都枚岑彤科技有限公司,,"=""+86-131-2783-1576""",hema111789@163.com,"Jinjiang, Chengdu, Sichuan No. 340, Furong West Road, Jinjiang District, Chengdu, Sichuan",,https://www.qoo10.jp/g/1176421387
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,Yaoyao Fashion,湖南鑫邦建筑装饰设计工程有限公司,,"=""+86-131-5510-4620""",xiaoheima1112@163.com,"Tianxin, Changsha, Hunan Room 2301, Furong Tongfa, No. 458, Furong Middle Road, Tianxin District, Changsha",,https://www.qoo10.jp/g/1176416506
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,多種多様な店,东莞市雷风塑胶电子有限公司,东莞市雷风塑胶电子有限公司,"=""+86-135-7420-9153""",yykn8054@163.com,"Guangdong Dongguan Dongguan Room 401, No.336 Zhangmutou Section, Dongshen Road, Zhangmutou Town",,https://www.qoo10.jp/g/1171437079
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,XRELEX,shandongjinxuyuananzhuanggongchengyouxiangongsi,LIUYONGSHENG,"=""+86-173-9456-1859""",yucheng7748@163.com,Shandong Rizhao Wulian County shandongshengrizhaoshiwulianxianjiefanglu117haoxibanyashangyejie17-104hao,,https://www.qoo10.jp/g/1168435351
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,YOYOBE,鹤壁市淇滨区宏莲生活用品店,鹤壁市淇滨区宏莲生活用品店,"=""+86-133-1392-5317""",lo3654125@163.com,Henan Hebi Qibin HENANSHENGHEBISHIQIBINQU107GUODAOLUDONGJIZHENZHUANGLINJIEERCENGYINGYELOUTAIXINGLU88HAO,,https://www.qoo10.jp/g/1166456732
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,ひだまり雑貨,重庆迈尼美科技有限公司,重庆迈尼美科技有限公司,"=""+86-165-2474-6293""",mainimeike@163.com,Chongqing Chongqing Wanzhou jichanglu590haodi3ceng,,https://www.qoo10.jp/g/1157956980
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,ピクセル和風,NAN TONG SHU XIN JU FANG ZHI PIN YOU XIAN GONG SI,,"=""+86-171-9477-0283""",,"Chongchuan, Nantong, Jiangsu NANTONGGAOXINQUYINHELU105HAO",,https://www.qoo10.jp/g/1154672732
ペットフード・用品,ペットインテリア・雑貨,寝具,あご枕・枕,Spring Dawn,"HENAN QUEQI IMPORT AND EXPORT TRADE CO., LTD.",fuchunxiao,"=""+86-167-5404-4936""",akaidey2008@163.com,Henan Zhengzhou GuanchengHui henanshengzhengzhoushiguanchenghuizuquhanghaidonglu869hao1haolou10ceng1009hao,,https://www.qoo10.jp/g/1177582708
