[큐텐 한국기업 목록 - 브랜드 확인 후 아래 aliases.csv에 추가],,
큐텐_회사명(법인명),브랜드명(storeName 정제),
"Wellbiz International CO.,LTD.",morimana,
"TOO COOL FOR SCHOOL CO.,LTD.",too cool for school,
"JAYEONIN CO.,LTD.",ISOI,
"NewSelect CO.,LTD.",EIOM,
RISKY Inc,RISKY,
"LSP CO.,LTD.",23yearsold,
"ABSORBLAB CO.,LTD.",celimax,
"FITZ CO.,LTD.",BLANC,
"GRACECLUB CO.,LTD.",COSNORI,
"CONTINUUM PARTNERS CO., LTD.",CURLYSHYLL,
COSRX inc.,COSRX,
"MANYO FACTORY CO.,LTD.",manyoストア,
"POTEGAR CO.,LTD.",BnDQoo10,
"d’Alba Global Co., Ltd.",ダルバ,
"IFAMILYSC CO.,LTD.",rom&nd,
VT COSMETICS Inc.,VTQoo10,
CMS LAB INC.,CellFusionC,
"F&CO Co.,Ltd.",BANILA CO,
BIBIANG HOLDINGS,BiBiANG,
LAB&COMPANY INC.,SKIN&LAB,
Craver corporation,SKIN1004,
"GOWOONSESANG COSMETICS CO., LTD",Dr.G,
ONNU GLOBAL,ONNU GLOBAL,
"IANFNC CO.,LTD.",2aN,
"BEAUTY SELECTION CO.,LTD.",Biodance,
"Dongkook Pharmaceutical Co., Ltd.",Centellian24,
TFIT CLASS INC.,TFIT,
"BBIA CO., LTD.",ABOUT TONE,
"JY Global CO.,LTD.",COSEMEGA,
"AMELI GLOBAL CO.,LTD.",Ameli,
"MUDEMATE CO.,LTD.",mude,
株式会社シンセゲ インターナショナル,YUNJAC  Store,
"The Growth Co., Ltd.",glow.m,
"NDY CO.,LTD.",Kira Kira,
GENOME AND COMPANY INC.,UIQQoo10,
THE SKINFACTORY,KUNDALストア,
"L&P Cosmetic Co., Ltd.",MEDIHEAL,
"BITELAB CO.,LTD.",リリーイブQoo10,
BLENDED CO.LTD.,Oiad,
EYE2IN,EYE2IN,
"AMUSE CO.,LTD.",AMUSE,
"Aekyung Ind. Co.,Ltd.",LUNA,
Corporation PMJ International,imbeauty,
"JUNGSAEMMOOL Beauty Co.,Ltd.",JUNGSAEMMOOL  BEAUTY 日本,
LAKA COSMETICS INC.,Laka,
OLIVE INTERNATIONAL INC.,ミルクタッチ,
"OU INTERNATIONAL CO.,LTD.",One-day’s you,
(株)ＢＢＩＡ　ＪＡＰＡＮ,BBIA,
JD GLOBAL,JD GLOBAL,
DIONY SHOP,DIONYBLOOM,
Adapt Inc.,FOODOLOGYQoo10,
BIOLAB CORP.,iHEAL,
FNL corp,FULLight,
"TODAYHEALTHCARE CO.,LTD.",[今日から],
"INA HEALTH CARE CO.,LTD.",ドクターディエット,
"megahit CO.,LTD.",Balanceflow,
"CHEONGAHN ORGANICS CO.,LTD.",koreaslimplanet,
GRIT IN PEACE INC.,Dr.GET IT,
"Ocean and Harvest CO.,LTD.",Pukoa,
"Eight Point One Co., Ltd",EightPointOne,
Ownist Inc.,Ownist,
"ESTHERFORMULA CO.,LTD",エスターフォーミュラ,
KICK THE HURDLE,PHYTOTICS,
AMOREPACIFIC,AMORE PACIFIC,
"whfoodskorea CO.,LTD.",Wholeberry,
TEAZEN INC.,TEAZEN,
CHONGKUNDANG HEALTHCARE CORP,ChongKunDang Healthcare,
wowbiotech..co.ltd,re4day,
DY,コットンピーチ屋,
"NATUREGARDEN CO.,LTD",Naturegarden,
LSKP,cube,
"Thedot CO.,LTD.",Dwait-Vegewell,
ENCLU Inc.,BeautiTopping,
DAUL,KCDOCENT,
RNK,dot-Mamiya,
KJGLOBAL,[]Olive Mall,
ssomi,45 st.,
Boylston,Kopley,
Rael Korea,Rael ストア,
"CREATIVE Z CO.,LTD",MEAL IT,
All style,TIARA MALL,
PURPLELABS HEALTHCARE INC.,SERYBOX,
株式会社  セルフィット,Selfit,
"INA HEALTHCARE CO.,LTD.",セリーナ,
"PESEUL Co., Ltd.",NE:AR,
BANANAKOREA,BANANAKOREA,
RONA AND BIYA,From K,
"UNIQUE PRICE CO.,LTD.",UP#,
chonjogukssanghwe,koreahub,
"KOREA EUNDAN HEALTHCARE CO.,LTD.",コリョウンタン Korea Eundan,
"A Peak CO.,LTD.",A.peak,
TheYujin,TheYujin,
what u want,dr.lolo,
"SECONDPROJECT CO.,LTD.",DARUNA,
"INNOVINEKOREA CO.,LTD.",moev,
"Egnis CO.,LTD.",LABNOSH,
"BPBIO CO.,LTD.",LACTIV,
"BOOSTLAB CO.,LTD.",エルゴボディ,
EvoGlobalKorea LLC,kimccnop,
"CELORA CO.,LTD.",セロラバイ,
ALL ROUNDER,ALL ROUNDER BEAUTY,
from world,from world,
"Prinics CO.,LTD.",Kodak Photo Printer,
VODANA,VODANA ストア,
Genie,ハナジニ,
"Awesomely CO.,LTD.",Awesomely,
"AIDEN LAB CO.,LTD.",glow u,
Cosmills,OLIVIA,
MIRAVIEW,MIRASARANG,
thenido,The nido,
"OURCORPORATION CO.,LTD.",Nodor,
SSUKSSUK COMPANY INC.,hetras,
SUSU,Glitch SEOUL＿1号店,
"ONEMONTHS COMPANY CO.,LTD.",kotona,
Tommys,Tommys LOOK,
Onpick Global,welcomUSA,
"UUS CO.,LTD.",XIMERCE,
HI:D,HI:D SELECT｜セレクト,
"TAEYANG NETWORKS CO.,LTD.",TY,
