회사명,국가,레벨,채널목록,연락처,이메일,URL
뉴트리원,국내,A,"사람인, 원티드",,help@saramin.co.kr,"https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53809401&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16, https://www.wanted.co.kr/wd/360073"
(유)프리티스킨인터내셔널,국내,B,사람인,,help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54201756&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
(주)360퍼스펙티브,국내,B,사람인,,job@thefounders.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53982649&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=a24df5a6-1b60-47c9-9dfd-5d12e2cb542d
(주)HR컨설팅그룹,국내,B,사람인,,"help@saramin.co.kr, job@thefounders.kr","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54130196&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54130205&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54130220&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54130228&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1ec0869b-d764-4591-b54a-13718682734f"
(주)글로벌스카우트,국내,B,사람인,,job@thefounders.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54267374&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1ec0869b-d764-4591-b54a-13718682734f
(주)김정문알로에,국내,B,사람인,,job@thefounders.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54060925&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
(주)네오미래,국내,B,사람인,,help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54039983&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
(주)네이처리퍼블릭,국내,B,사람인,,help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54108666&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
(주)달바글로벌,국내,B,사람인,,help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54224710&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
(주)더엑시스,국내,B,사람인,,help@saramin.co.kr,"https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54187951&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=6192c8e9-ce72-4138-a639-60650fbf119d, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54188017&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477"
