국가,레벨,회사명,연락처,이메일,채널목록,URL
국내,S,COSRX inc.,+82-02-6357-8093,japancs@cosrx.co.kr,"LIPS, 큐텐, 파우더룸","https://lipscosme.com/brands/30224, https://www.qoo10.jp/g/1108298022"
국내,A,(주)네이처리퍼블릭,,,"사람인, 파우더룸",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54108666&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
국내,A,(주)달바글로벌,,"E-Mailpmc@tempin.co.kr, jisoo.kim@ajnet.co.kr, recruit@riman.com, sally@prohanzkorea.co.kr","사람인, 파우더룸","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53747310&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=86aefdba-ee6a-471b-8f2b-5fc811bc2b2a, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53747336&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53747336&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=390dfe1a-2432-44c7-b102-eea7aa9eadc6, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53747354&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53747416&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=f855a4aa-efe3-4ec0-b57c-186cdb4d2fea, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53747462&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53747617&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=f855a4aa-efe3-4ec0-b57c-186cdb4d2fea, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53747661&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=f855a4aa-efe3-4ec0-b57c-186cdb4d2fea, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53809631&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=86aefdba-ee6a-471b-8f2b-5fc811bc2b2a, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53810228&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53810274&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=390dfe1a-2432-44c7-b102-eea7aa9eadc6, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53810274&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53810280&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53810280&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53810284&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=c4b8a36c-ed07-427c-a891-87f97e537053, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53810284&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=f855a4aa-efe3-4ec0-b57c-186cdb4d2fea, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53810386&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=390dfe1a-2432-44c7-b102-eea7aa9eadc6, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53810386&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53902146&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53929814&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53936866&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53936866&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53998388&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53998430&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53998430&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54012706&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54189248&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54189248&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54189322&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54189342&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54224710&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=19bae321-8d85-45df-b36f-c95bbf6b49cc, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229635&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229744&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229848&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229848&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=f855a4aa-efe3-4ec0-b57c-186cdb4d2fea, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54230513&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54248268&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54248268&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=c4b8a36c-ed07-427c-a891-87f97e537053, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54248268&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=f855a4aa-efe3-4ec0-b57c-186cdb4d2fea, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54248279&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54248279&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54259776&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=f855a4aa-efe3-4ec0-b57c-186cdb4d2fea"
국내,A,(주)마녀공장,,,"사람인, 파우더룸",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54188246&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa
국내,A,(주)이즈앤트리,,head@goodcareer.co.kr,"사람인, 파우더룸","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53830073&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=c4b8a36c-ed07-427c-a891-87f97e537053, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53905374&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54092495&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54174229&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=390dfe1a-2432-44c7-b102-eea7aa9eadc6, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54189167&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54189167&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=390dfe1a-2432-44c7-b102-eea7aa9eadc6"
국내,A,(주)퍼셀,,,"사람인, 파우더룸",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54054447&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=86aefdba-ee6a-471b-8f2b-5fc811bc2b2a
국내,A,CMS LAB INC.,+82-010-4940-1210,cellfusionc_jp@wonik.com,"큐텐, 파우더룸",https://www.qoo10.jp/g/1182212684
국내,A,Craver corporation,+82-010-7519-9968,tf-jp@cravercorp.com,"사람인, 큐텐","https://www.qoo10.jp/g/1195329131, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53789771&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1e3b524c-00ea-4d58-902c-22c7037d79aa"
국내,A,VT COSMETICS Inc.,+82-070-8824-0805,"ehkim@vt-cosmetics.com, jeonghun.choi@sinjimoru.com","사람인, 큐텐","https://www.qoo10.jp/g/1035782248, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229155&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229163&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=c4b8a36c-ed07-427c-a891-87f97e537053, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229175&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=390dfe1a-2432-44c7-b102-eea7aa9eadc6, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229234&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229243&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54229246&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=390dfe1a-2432-44c7-b102-eea7aa9eadc6, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54259568&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54259628&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=26d8c910-4559-4592-ac7f-4e2a09a38184"
국내,B,(유)프리티스킨인터내셔널,,,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54201756&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
