레벨,회사명,연락처,이메일,채널목록,URL
A,뉴트리원,,help@saramin.co.kr,"사람인, 원티드","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53809401&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16, https://www.wanted.co.kr/wd/360073"
B,(유)프리티스킨인터내셔널,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54201756&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
B,(주)360퍼스펙티브,,job@thefounders.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53982649&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=a24df5a6-1b60-47c9-9dfd-5d12e2cb542d
B,(주)HR컨설팅그룹,,"help@saramin.co.kr, job@thefounders.kr",사람인,"https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54130196&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54130205&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54130220&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54130228&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1ec0869b-d764-4591-b54a-13718682734f"
B,(주)글로벌스카우트,,job@thefounders.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54267374&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1ec0869b-d764-4591-b54a-13718682734f
B,(주)김정문알로에,,job@thefounders.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54060925&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
B,(주)네오미래,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54039983&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
B,(주)네이처리퍼블릭,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54108666&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
B,(주)달바글로벌,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54224710&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
B,(주)더엑시스,,help@saramin.co.kr,사람인,"https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54187951&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=6192c8e9-ce72-4138-a639-60650fbf119d, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54188017&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477"
B,(주)더컴퍼니유,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53980837&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1ec0869b-d764-4591-b54a-13718682734f
B,(주)더파운더즈,,job@thefounders.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54147919&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=6192c8e9-ce72-4138-a639-60650fbf119d
B,(주)더프레임리스,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54183496&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1ec0869b-d764-4591-b54a-13718682734f
B,(주)데이지에스앤씨,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54158561&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
B,(주)디에스네이처,,help@saramin.co.kr,사람인,"https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54037653&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=a24df5a6-1b60-47c9-9dfd-5d12e2cb542d, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54037655&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=a24df5a6-1b60-47c9-9dfd-5d12e2cb542d"
B,(주)디엔코스메틱스,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54015626&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=6192c8e9-ce72-4138-a639-60650fbf119d
B,(주)라이프스타일프로젝트,,"handok-hr@handok.com, help@saramin.co.kr",사람인,"https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53776377&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53781638&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53781644&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53781644&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53854518&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54017288&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=6192c8e9-ce72-4138-a639-60650fbf119d, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54104574&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=6192c8e9-ce72-4138-a639-60650fbf119d, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54104574&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=a24df5a6-1b60-47c9-9dfd-5d12e2cb542d, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54132432&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54227674&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1ec0869b-d764-4591-b54a-13718682734f, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54260924&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=a24df5a6-1b60-47c9-9dfd-5d12e2cb542d, https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54260937&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=a24df5a6-1b60-47c9-9dfd-5d12e2cb542d"
B,(주)라큐로스,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54266263&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
B,(주)리브,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54150936&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=cfcd95c5-d509-4736-96db-e50f64a65477
B,(주)마녀공장,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54188246&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=1ec0869b-d764-4591-b54a-13718682734f
B,(주)마르시끄,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54256449&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=6192c8e9-ce72-4138-a639-60650fbf119d
B,(주)마이더스에이치알,,help@saramin.co.kr,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54212488&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
