레벨,회사명,연락처,이메일,채널목록,URL
B,520株式会社,+81-070-9267-6027,520.qoo10.2024.fashion@gmail.com,큐텐,https://www.qoo10.jp/g/1190140708
B,ALEEY LIMITED,+81-050-5806-1646,aleey001@hotmail.com,큐텐,https://www.qoo10.jp/g/440300799
B,"APR Co., Ltd.","+81-03-6421-2850, +81-800-100-2273","qoo10_ap@apr-in.com, qoo10_me@apr-in.com",큐텐,"https://www.qoo10.jp/g/1083259765, https://www.qoo10.jp/g/1147259677"
B,BENOW INC.,+81-03-6258-0328,cs_numbuzinjp@benow.co.kr,큐텐,https://www.qoo10.jp/g/1188351647
B,BUNTETU株式会社,+81-018-893-4554,shop-q@minato-farm.com,큐텐,https://www.qoo10.jp/g/972364382
B,Beauty Land合同会社,+81-090-9563-5351,adrg@benlando.gonna.jp,큐텐,https://www.qoo10.jp/g/865498119
B,"C&CN Co., Ltd.",+81-03-6273-8934,beauselection@cncn.co.kr,큐텐,https://www.qoo10.jp/g/803430496
B,CHEN ZHI QIANG,+81-156-1010-5021,,큐텐,https://www.qoo10.jp/g/1147748600
B,CHENMAO,+81-?) 03-?) 1234-?),chenmaocm@126.com,큐텐,https://www.qoo10.jp/g/1195643854
B,CJ FOODS JAPAN株式会社,+81-050-8882-5626,support@cjfjec.com,큐텐,https://www.qoo10.jp/g/921652158
B,DOTS CORPORATION Inc,+81-050-5806-2504,canteen9_japan@dotscorporation.com,큐텐,https://www.qoo10.jp/g/1029493773
B,"DS NATURE Co.,LTD",+81-?) 03-?) 1234-?),japan@dalsim.kr,큐텐,https://www.qoo10.jp/g/1053144197
B,EARTH合同会社,+81-048-871-6503,cs@earth.jp.net,큐텐,https://www.qoo10.jp/g/1127167642
B,"ELOOMBIO CO.,LTD",+81-?) 03-?) 1234-?),albert@eloombio.com,큐텐,https://www.qoo10.jp/g/1064719092
B,ETOMARS JAPAN株式会社,+81-050-3099-6226,service@qmart.jp,큐텐,https://www.qoo10.jp/g/1074081759
B,EXTREME Inc,+81-?) 03-?) 1234-?),global@extreme.co.kr,큐텐,https://www.qoo10.jp/g/1159007079
B,EarthPal,+81-070-6572-7770,,큐텐,https://www.qoo10.jp/g/1194388749
B,Eve株式会社,+81-080-7067-7676,qoo10@andy1228.jp,큐텐,https://www.qoo10.jp/g/1131601363
B,"FNCORPORATION CO.,LTD.",+81-?) 03-?) 1234-?),,큐텐,https://www.qoo10.jp/g/1144936976
B,Good　Mark,+81-050-3204-0133,yoshiya-bb@ac.auone-net.jp,큐텐,https://www.qoo10.jp/g/1030867308
B,Grouport,+81-059-854-0691,qoo10@grouport.net,큐텐,https://www.qoo10.jp/g/685328652
B,Hamee株式会社,"+81-0120-569-565, +81-050-3668-8596","byur_qoo10@contact.jp.iface.com, info_byglow@hamee.co.jp",큐텐,"https://www.qoo10.jp/g/1004072090, https://www.qoo10.jp/g/1181315091"
B,Happytree,+81-?) 03-?) 1234-?),,큐텐,https://www.qoo10.jp/g/1193737983
B,Hiroshopnet,+81-080-8805-0444,,큐텐,https://www.qoo10.jp/g/1194561416
B,Hygge,+81-090-1878-2928,,큐텐,https://www.qoo10.jp/g/1115702505
B,ISAMOGU INC.,+81-080-7527-3645,cs@celladix.co.kr,큐텐,https://www.qoo10.jp/g/1045306263
B,J-V GLOBAL合同会社,+81-075-278-3678,kkfy0049@yahoo.co.jp,큐텐,https://www.qoo10.jp/g/754673967
B,KENSCOTT株式会社,+81-092-719-0771,qoo10@5445.co.jp,큐텐,https://www.qoo10.jp/g/1185774263
B,Karly Shop株式会社,+81-072-807-4675,karlyshop@karlyshop.co.jp,큐텐,https://www.qoo10.jp/g/1180384005
B,Keto,+81-?) 03-?) 1234-?),,큐텐,https://www.qoo10.jp/g/977284949
B,"LILA TRDING CO.,LTD",+81-?) 03-?) 1234-?),noonbusige@gmail.com,큐텐,https://www.qoo10.jp/g/1086161185
B,LIN XIANPEN,+81-043-305-5736,Sarlisiofficial@outlook.com,큐텐,https://www.qoo10.jp/g/791664091
B,LOWA INC.,+81-?) 03-?) 1234-?),,큐텐,https://www.qoo10.jp/g/1174354420
B,LUCKYCART,+81-070-1066-9104,,큐텐,https://www.qoo10.jp/g/1134788911
B,LaBella株式会社,+81-03-6427-1681,qoo10-cicibella@otoiawase.jp,큐텐,https://www.qoo10.jp/g/980210267
B,LeMoN株式会社,+81-0120-976-260,info-q@lemon-inc.jp,큐텐,https://www.qoo10.jp/g/612681294
B,"Limoe Co., Ltd.",+81-070-9126-3686,support@limoe-jp.com,큐텐,https://www.qoo10.jp/g/1030617275
B,"Lovecosme CO.,LTD.",+81-050-6868-6598,lovecosmeco@gmail.com,큐텐,https://www.qoo10.jp/g/1186723661
B,MIホールディングス株式会社,+81-03-6809-1741,echyakka@icloud.com,큐텐,https://www.qoo10.jp/g/881094886
B,Marslabs Inc.,+81-?) 03-?) 1234-?),cx@marslabs.co.kr,큐텐,https://www.qoo10.jp/g/1044200621
B,Matakul合同会社,+81-070-3517-0125,info@askrtech.boyfriend.jp,큐텐,https://www.qoo10.jp/g/1174767495
B,"NATURELOUD CO.,LTD.",+81-?) 03-?) 1234-?),jp@natureloud.co.kr,큐텐,https://www.qoo10.jp/g/1133391877
B,"NOTHINGBETTER CO.,LTD.",+81-?) 03-?) 1234-?),nothingbetter.jp@gmail.com,큐텐,https://www.qoo10.jp/g/1174417118
B,NextStage株式会社,+81-06-6263-3700,info@next-stage.jpn.com,큐텐,https://www.qoo10.jp/g/746764307
B,"ONNURISTORE CO.,LTD.",+81-03-6820-3726,international@onns.kr,큐텐,https://www.qoo10.jp/g/1175153193
B,P2C Studio株式会社,+81-090-8056-7538,qoo10_mariness@p2cstudio.com,큐텐,https://www.qoo10.jp/g/1182491765
B,PPYC BIO INC.,+81-?) 03-?) 1234-?),sales@ppycbio.com,큐텐,https://www.qoo10.jp/g/1187868861
B,PandH株式会社,+81-03-5284-8566,kirin4353@yahoo.co.jp,큐텐,https://www.qoo10.jp/g/988043395
B,SARLISI株式会社,+81-080-3209-2566,sarlisikabusiki@outlook.com,큐텐,https://www.qoo10.jp/g/1072813515
B,ST-TRADE株式会社,+81-042-978-8693,info@chic-robot.co.jp,큐텐,https://www.qoo10.jp/g/839323704
B,SUN YUNFEI,+81-080-4971-0188,sonunhi@outlook.com,큐텐,https://www.qoo10.jp/g/794041761
B,"TGRN CO., LTD.",+81-?) 03-?) 1234-?),,큐텐,https://www.qoo10.jp/g/1133825301
B,THE FOUNDERS INC.,+81-03-6447-2025,cs@anuashop.jp,큐텐,https://www.qoo10.jp/g/945527932
B,"THE PLUS INTERACTIVE CO.,LTD.",+81-?) 03-?) 1234-?),shakebaby.jp@gmail.com,큐텐,https://www.qoo10.jp/g/978476852
B,TIRTIR.Inc,+81-3-5937-0347,,큐텐,https://www.qoo10.jp/g/879782162
B,"TORRIDEN CO.,LTD.",+81-0285-37-8069,japan_ec@torriden.com,큐텐,https://www.qoo10.jp/g/933241218
B,UNFOUNDISM Inc,+81-?) 03-?) 1234-?),,큐텐,https://www.qoo10.jp/g/1103383976
B,Ulike株式会社,+81-050-3161-3100,jpsupport@ulikeglobal.com,큐텐,https://www.qoo10.jp/g/1142166710
B,VL Global Ecom株式会社,+81-03-6866-2843,service@vip-support.jp,큐텐,https://www.qoo10.jp/g/1005892511
B,WEIWEIホールディングス株式会社,+81-050-8882-5001,weimallqoo10@weiec.jp,큐텐,https://www.qoo10.jp/g/973275975
B,WONDER LINE株式会社,+81-03-3401-1888,support@wonder-line.biz,큐텐,https://www.qoo10.jp/g/1095915261
B,YANG DONGDONG,+81-080-8118-6392,yddryl@gmail.com,큐텐,https://www.qoo10.jp/g/777237463
B,Yoshe Direct,+81-090-7834-5364,cheeryjp_direct@yahoo.co.jp,큐텐,https://www.qoo10.jp/g/1190812865
B,einkerem,+81-?) 03-?) 1234-?),,큐텐,https://www.qoo10.jp/g/1037457409
B,first penguin,+81-090-6837-5209,qoo10penteria@gmail.com,큐텐,https://www.qoo10.jp/g/1171160767
B,firsthitech,+81-?) 03-?) 1234-?),ciior@naver.com,큐텐,https://www.qoo10.jp/g/1025024505
B,hasajang,+81-?) 03-?) 1234-?),,큐텐,https://www.qoo10.jp/g/1130974939
B,hi-k,+81-080-3799-1464,hik155828@gmail.com,큐텐,https://www.qoo10.jp/g/702382111
B,nuobochen,+81-080-5510-1716,nuobochenqoo10@163.com,큐텐,https://www.qoo10.jp/g/919761572
B,株式会社 DCT COMPANY 77,+81-042-420-9678,support@berykoko.jp,큐텐,https://www.qoo10.jp/g/1075763341
B,株式会社 I-ne,+81-0800-222-2578,q10-support@i-ne.co.jp,큐텐,https://www.qoo10.jp/g/1091470869
B,株式会社ADSOUL,+81-03-6802-7542,adsoul2022@gmail.com,큐텐,https://www.qoo10.jp/g/1189414435
B,株式会社AKINAI,+81-070-8599-5381,contact@od-akinai.com,큐텐,https://www.qoo10.jp/g/1163091208
B,株式会社ALBONA,+81-090-7815-3890,qoo10-support@i-shoten.com,큐텐,https://www.qoo10.jp/g/1097671463
B,株式会社ARIOSE,+81-03-6417-0109,info-qoo10@lilyanna.jp,큐텐,https://www.qoo10.jp/g/709597394
B,株式会社ART AGE transport,+81-080-7626-0235,,큐텐,https://www.qoo10.jp/g/1180303616
B,株式会社Ambition,+81-06-6563-9366,info@ambition-store.com,큐텐,https://www.qoo10.jp/g/967445162
B,株式会社B&J,+81-0480-62-1139,qoo10@bandjnet.com,큐텐,https://www.qoo10.jp/g/425880221
B,株式会社BANPUP,+81-03-5789-5847,info@banpup.com,큐텐,https://www.qoo10.jp/g/1157662181
B,株式会社BISCO,+81-06-6655-0332,support@kaminidoramawo.jp,큐텐,https://www.qoo10.jp/g/1133628578
B,株式会社BJC,+81-080-4889-4632,bjc.ec@bjc-inc.com,큐텐,https://www.qoo10.jp/g/1095775229
B,株式会社CIBELES,+81-050-6865-7858,"lemonshop_qoo10@cibeles.co.jp, royal_qoo10@cibeles.co.jp",큐텐,"https://www.qoo10.jp/g/774075291, https://www.qoo10.jp/g/990019242"
B,株式会社DCイノベーション,+81-086-230-5622,support-qoo10@ant-pack.com,큐텐,https://www.qoo10.jp/g/1063220405
B,株式会社ELUCE trading,+81-06-6318-7933,,큐텐,https://www.qoo10.jp/g/1193496251
B,株式会社ESK,+81-086-236-7724,saes-company@tiny-usa-6126.icurus.jp,큐텐,https://www.qoo10.jp/g/1137829517
B,株式会社EVLISS,+81-072-861-5180,,큐텐,https://www.qoo10.jp/g/891361986
B,株式会社Freiheit,+81-03-6811-6978,info.eone10@gmail.com,큐텐,https://www.qoo10.jp/g/1191917343
B,株式会社Global Style Japan,+81-06-6423-8114,info@gs-jpn.com,큐텐,https://www.qoo10.jp/g/1095055060
B,株式会社Glood roi,+81-070-8435-9613,info@gloodroi.co.jp,큐텐,https://www.qoo10.jp/g/1042699923
B,株式会社GrandPrix,+81-043-497-3389,contact@grandprix-co.com,큐텐,https://www.qoo10.jp/g/904979206
B,株式会社H2O,+81-070-8992-3189,h2o.ecmall@gmail.com,큐텐,https://www.qoo10.jp/g/1014601960
B,株式会社IN STYLE JAPAN,+81-03-6205-6647,macapresso@cucumakorea.com,큐텐,https://www.qoo10.jp/g/1188336342
B,株式会社KINS,+81-03-4580-2285,,큐텐,https://www.qoo10.jp/g/1153239128
B,株式会社LUXSEED,+81-092-710-6572,qoo10@luxseed.com,큐텐,https://www.qoo10.jp/g/1149796744
B,株式会社Lafitte,+81-089-993-5519,info@lafitte.co.jp,큐텐,https://www.qoo10.jp/g/1175431149
B,株式会社Lcode,+81-0120-545-966,info@teacon.jp,큐텐,https://www.qoo10.jp/g/694548248
B,株式会社MKH,+81-042-937-7662,info-ec@mkh2017.com,큐텐,https://www.qoo10.jp/g/1135009894
B,株式会社MTG,+81-0120-467-222,info@mtgec.jp,큐텐,https://www.qoo10.jp/g/779785428
B,株式会社NASTY JAPAN,+81-070-9071-6757,support@nastystore.jp,큐텐,https://www.qoo10.jp/g/1186369703
B,株式会社NISSO,+81-03-6384-1387,ariana@nisso-cosme.com,큐텐,https://www.qoo10.jp/g/1191434559
B,株式会社NOSC,+81-03-4565-0010,common@cs-fom.com,큐텐,https://www.qoo10.jp/g/1129993486
B,株式会社NR,+81-03-6667-0436,,큐텐,https://www.qoo10.jp/g/1160335780
B,株式会社PIENA,+81-03-6659-3319,qoo10@piena.info,큐텐,https://www.qoo10.jp/g/794884033
B,株式会社PITTI,+81-090-3428-7519,,큐텐,https://www.qoo10.jp/g/1181390061
B,株式会社PMJ,+81-0120-999-686,petio-online-shop@petio.com,큐텐,https://www.qoo10.jp/g/1090268789
B,株式会社Q美ワールド,+81-06-7668-0212,info@be-garden.com,큐텐,https://www.qoo10.jp/g/1096909333
B,株式会社RiLiSh,+81-080-8914-2258,info@rilish.co.jp,큐텐,https://www.qoo10.jp/g/1179624401
B,株式会社RiseUP,"+81-0120-33-1251, +81-0120-432-012","qoo10_support@bonanza-park.jp, qoo10_support@morecon.jp",큐텐,"https://www.qoo10.jp/g/1018441282, https://www.qoo10.jp/g/818605261"
B,株式会社S-mart,+81-0979-25-1536,q10@s-mart.shoes,큐텐,https://www.qoo10.jp/g/1163112485
B,株式会社SAEDA,+81-084-932-6800,f-okinogami@saeda.co.jp,큐텐,https://www.qoo10.jp/g/1069798743
B,株式会社Sign,+81-090-1283-2189,,큐텐,https://www.qoo10.jp/g/1167517692
B,株式会社Snatch  Wacko,+81-070-4319-5087,endou_isamu@sumiboshi.jp,큐텐,https://www.qoo10.jp/g/1162234928
B,株式会社String,+81-080-7156-6985,info@ap-string.jp,큐텐,https://www.qoo10.jp/g/1126704322
B,株式会社ULTRA　MARKET,+81-080-3441-6079,info@ultramarket.co.jp,큐텐,https://www.qoo10.jp/g/1007227389
B,株式会社Ultimate Life,+81-079-280-2324,libertashop-qoo10@ultimatelife.co.jp,큐텐,https://www.qoo10.jp/g/636233634
B,株式会社ZOA,+81-034-590-6132,,큐텐,https://www.qoo10.jp/g/1179874031
B,株式会社adapt retailing,+81-0120-464-911,coca@cocacoca.jp,큐텐,https://www.qoo10.jp/g/1190214263
B,株式会社eLcrews,+81-0422-29-3705,q10.info@okusuri.tokyo,큐텐,https://www.qoo10.jp/g/1085389673
B,株式会社maution,+81-086-697-6232,info@maution.co.jp,큐텐,https://www.qoo10.jp/g/1038587394
B,株式会社mira,+81-050-5369-5351,shop@mira-inc.jp,큐텐,https://www.qoo10.jp/g/1128916481
B,株式会社y's,+81-090-8060-5049,,큐텐,https://www.qoo10.jp/g/1019304050
B,株式会社家電のSAKURA,+81-06-6632-5486,q10-info@kaden-sakura.com,큐텐,https://www.qoo10.jp/g/1141783678
