출처,회사명,직무,이메일,URL
사람인,(주)김정문알로에,일본 큐텐 운영 MD 경력직 채용,job@thefounders.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54060925&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(주)팜스빌,"글로벌커머스(큐텐, 라쿠텐, 아마존 등) 운영 전문가 모십니다.",,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54024900&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(주)네오미래,[글로벌 뷰티 브랜드] B2C 해외영업 채용 (아마존/큐텐/쇼피),,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54039983&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(주)라큐로스,일본 큐텐 MD 경력직 채용,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54266263&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(주)매그니프,[화장품] 노에트 일본 큐텐 MD 경력직 채용,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54206885&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(주)뉴트리원,(주)뉴트리원 일본 큐텐/이커머스 MD (3년 이하),,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53809401&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(유)프리티스킨인터내셔널,화장품 브랜드 일본 Qoo10(큐텐) 채널 MD채용,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54201756&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(주)슬로우로켓,일본 큐텐(Qoo10) 채널운영관리 MD,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54268240&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(주)큰삼촌컴퍼니,패션 이커머스 온라인 MD - 일본 큐텐 상품운영·SNS마케팅,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54093143&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(주)네이처리퍼블릭,(주)네이처리퍼블릭 글로벌 이커머스 팀장(Amazon/Shopee/Qoo10),,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54108666&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,(주)슬로우로켓,일본 큐텐(Qoo10) 채널운영관리 MD,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54204268&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
사람인,리메세(주),침착하고 집요한 글로벌 MD (Qoo10 Japan / eBay US·UK),jeonghun.choi@sinjimoru.com,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54273274&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=4bce29ac-728f-4542-b186-32865fe0b8ae
