출원인,권리자,상표명,출원번호,출원일자,등록번호,등록일자,니스코드
株式会社GlobalNetwork  Trading,,,2026069092,20260615,,,
COSMETICMAKERS株式会社,,,2026068851,20260615,,,
株式会社YOAKE  entertainment,,,2026067642,20260611,,,
株式会社DESIGN  WORKS  ANCIENT,,,2026063560,20260603,,,
TOKYO  WATCH  MARKET株式会社,,,2026063742,20260603,,,
KOYASU  Resort  International株式会社,,,2026062866,20260602,,,
株式会社GlobalNetwork  Trading,,,2026062940,20260602,,,
株式会社SANKO  MARKETING  FOODS,,,2026062548,20260602,,,
KOYASU  Resort  International株式会社,,,2026062865,20260602,,,
HAKUSOH  FRONTIER株式会社,,,2026062814,20260602,,,
株式会社Freedom  Freaks,,,2026061478,20260529,,,
株式会社Another  works,,,2026059733,20260526,,,
株式会社Another  works,,,2026059720,20260526,,,
株式会社Another  works,,,2026059714,20260526,,,
一般社団法人Japan  Innovation  Network,,,2026058877,20260525,,,
SEIKAWORKS株式会社,,,2026058596,20260522,,,
SEIKAWORKS株式会社,,,2026058594,20260522,,,
SEIKAWORKS株式会社,,,2026058595,20260522,,,
Tekoma  Energy株式会社,,,2026057607,20260521,,,
株式会社Marketing  Sub  Domain,,,2026057266,20260520,,,
一般社団法人Artist  Link  Associate,,,2026063153,20260520,,,
株式会社Dealers  Stock,,,2026056348,20260519,,,
一般社団法人Artist  Link  Associate,,,2026061013,20260516,,,
Foot  Locker  atmos  Japan合同会社,,,2026054573,20260514,,,
株式会社Akiba  Code  Graphics,,,2026053825,20260513,,,
合同会社Miyako  Tourism  Design,,,2026058526,20260512,,,
株式会社Kyoreisha,,,2026052860,20260511,,,
Shamrock  Records株式会社,,,2026051409,20260507,,,
株式会社Little  Flower  Fukuoka,,,2026046773,20260423,,,
株式会社ARCHIVESTOCK,,,2026046514,20260422,,,
KOSHINO  KIRAMEKI株式会社,,,2026045614,20260421,,,
株式会社POKER  FACE,,,2026044111,20260417,,,
一般社団法人Ponte  Roda  Nagasaki,,,2026043808,20260416,,,
株式会社K2creation,,,2026043817,20260416,,,
株式会社Kansai  Collection  ENTERTAINMENT,,,2026041062,20260410,,,
